Genre,feature0,feature1,feature2
blues,0,0.558888703,0.346569676
blues,0.048060759,0.556635192,0.376837463
blues,0.059645258,0.567421339,0.36635422
blues,0.06164253,0.564423592,0.358829909
blues,0.067591207,0.556466254,0.295722297
blues,0.068240333,0.546968827,0.377428488
blues,0.082667977,0.576948819,0.326079684
blues,0.089674311,0.557507936,0.308378402
blues,0.100517229,0.559493486,0.368071627
blues,0.104778594,0.573889433,0.35992385
blues,0.105641173,0.560057824,0.530036432
blues,0.106246266,0.562260496,0.341545713
blues,0.106296899,0.544833454,0.489659639
blues,0.106786719,0.559513534,0.395747962
blues,0.110733534,0.552308802,0.331669235
blues,0.11134537,0.54977607,0.335252006
blues,0.112353041,0.55093244,0.34336922
blues,0.112790463,0.544197896,0.316257381
blues,0.113725081,0.55949177,0.294389708
blues,0.114668742,0.552006936,0.408693707
blues,0.116094061,0.563121177,0.365955871
blues,0.118177314,0.555034216,0.406453499
blues,0.118639759,0.554563612,0.363240074
blues,0.121338208,0.565199367,0.37090242
blues,0.121748117,0.565224382,0.368644807
blues,0.12192727,0.559023726,0.341411154
blues,0.12203272,0.570314562,0.383476796
blues,0.123282197,0.551109065,0.352720514
blues,0.123700206,0.56264403,0.328812075
blues,0.124111534,0.563690865,0.394673318
blues,0.125320053,0.565406815,0.573766804
blues,0.12766075,0.561029919,0.578459853
blues,0.127834932,0.563068299,0.58602467
blues,0.129519635,0.563524835,0.58229376
blues,0.131588462,0.572114166,0.53039064
blues,0.131606602,0.554095406,0.451799734
blues,0.131855855,0.55235889,0.534186637
blues,0.132505708,0.551249911,0.500602401
blues,0.134207233,0.559217008,0.516431125
blues,0.134244026,0.566848904,0.483126998
blues,0.134307393,0.561795714,0.3483234
blues,0.136302836,0.565442576,0.291917073
blues,0.137575667,0.563421208,0.28424105
blues,0.13961805,0.559888785,0.363354284
blues,0.140292859,0.562406613,0.387452296
blues,0.141505008,0.560913714,0.308708619
blues,0.141533325,0.561448672,0.384317348
blues,0.142241248,0.563786656,0.332261206
